row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,10_QC.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,65_QC.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,55_QC.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,9_QC.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,66_QC.mzXML Peak height,21_QC.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,44_QC.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,32_QC.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,
107,59.95099478118426,3.515,,,,,,,,,,,0,0,0,0,1553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6376.0,0,0,0,0,0,0,0,0,0,0,0,0,1149.1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,71.9939724684271,3.5349998,,,,,,,,,,,0,0,0,0,0,3975.0,0,4608.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2599.611,0,0,0,0,0,0,0,0,0,
120,72.00211002105746,3.5425,,,,,,,,,,,0,0,0,0,1428.0,0,0,0,2833.2585,759.0,0,0,0,1465.308,0,0,0,0,0,0,0,0,3430.0,1113.0,0,0,4141.136,1250.0,0,0,0,0,0,7656.7954,0,0,0,0,0,2258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,71.99890713335773,3.5425003,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30218.967,0,0,0,0,0,0,0,0,0,0,0,7911.488,0,0,0,0,0,0,0,0,0,0,0,32578.375,0,8412.984,0,0,0,0,0,0,0,17317.68,0,12122.104,
122,71.9996031165099,3.5433333,,,,,,,,,,,0,0,5680.772,0,0,0,0,0,0,0,0,0,0,0,0,4545.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675.1636,0,0,0,0,0,0,0,0,
125,71.99594494907876,3.5500002,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500.9182,0,0,0,0,5360.7305,0,0,0,0,0,0,0,0,0,2973.7673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,95.98146224821107,3.625,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4354.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296.9088,0,0,0,0,0,3926.4062,0,0,
143,132.95327019596192,3.6360002,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2900.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250.4292,0,0,0,0,0,0,0,0,0,6918.307,0,0,0,1843.3468,4658.6797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,132.95377261514045,3.6381252,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3431.885,0,0,0,0,0,0,1233.863,1854.0,1142.1539,0,0,0,0,0,0,4936.8516,0,0,0,0,0,0,0,0,0,0,0,0,1895.4103,1069.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3838.0918,0,
145,98.02079605609107,3.6385715,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1126.0,0,0,0,1158.0,0,0,0,0,0,0,0,0,1588.0363,0,0,0,0,0,0,0,1627.0,1255.0,0,0,0,0,0,0,0,0,0,695.0,0,0,0,0,0,0,0,0,1826.6597,0,0,0,0,
151,71.99347264033298,3.6516666,,,,,,,,,,,0,4607.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402.3083,0,0,0,0,0,0,
155,59.95787202955166,3.6583335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069.355,0,2537.1228,0,0,0,0,0,0,0,0,0,0,0,0,2361.0,0,0,0,
163,57.00107820316847,3.676111,,,,,,,,,,,0,0,3120.8223,0,0,0,0,0,0,1695.0,0,0,0,0,0,0,2988.2588,0,3793.3838,0,3858.0,0,0,0,0,0,0,0,0,4031.0,0,0,0,0,3618.0,0,0,0,0,0,0,0,0,0,0,2933.6646,0,0,0,0,0,0,0,0,3710.874,0,0,
200,96.01900261691264,3.82,,,,,,,,,,,0,0,0,0,0,0,0,3253.5564,0,0,0,0,0,3726.7307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4427.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,108.03625025550939,3.8235717,,,,,,,,,,,0,4141.638,0,0,0,0,0,0,0,0,0,0,0,0,0,3700.94,0,0,0,0,0,0,0,0,3451.3745,0,0,0,0,0,0,0,3521.8032,0,0,3796.9944,4710.6484,0,0,0,6204.0356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,108.03474801588716,3.8244116,,,,,,,,,,,0,0,3701.2844,4788.3794,0,0,14884.551,0,8128.303,0,0,0,0,0,13269.723,0,14283.427,0,4986.8945,10426.457,0,5270.4287,0,5708.59,0,0,5157.723,11888.008,0,6211.949,0,0,0,0,0,0,0,0,0,6887.2695,0,0,0,0,0,0,0,3370.9631,0,0,16439.947,0,0,6418.597,0,0,0,
209,85.02069759224554,3.8431816,,,,,,,,,,,0,0,0,0,1553.0,0,0,0,0,628.0,0,0,0,0,0,0,0,0,0,0,0,0,1304.0,0,0,0,0,0,0,0,0,2506.0,1124.0,0,0,0,0,0,0,0,0,1370.0,0,0,0,1035.0,1163.0,0,1593.0,0,0,0,1006.0,0,1048.7806,0,0,
212,96.00949072656745,3.8639998,,,,,,,,,,,0,0,1135.0,0,0,0,0,0,1282.0,801.04803,0,0,0,0,0,0,1586.0,0,0,0,0,0,0,0,0,1398.0308,0,1585.0,0,0,0,0,0,0,0,0,0,1267.5247,0,0,0,0,0,0,0,0,1678.0,0,0,0,1828.0,0,0,0,0,1466.0,0,
215,54.995722923781784,3.8833334,,,,,,,,,,,0,0,0,0,0,0,0,4612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13730.0,0,0,0,0,0,0,0,0,0,0,0,0,10718.0,0,0,0,4702.4487,0,0,0,0,0,8686.369,0,9014.0,
219,54.99889297604113,3.8883333,,,,,,,,,,,0,4299.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4885.5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127.386,0,0,0,
221,54.99922798749018,3.89,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5131.8784,0,0,0,0,0,0,0,4705.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038.1848,0,0,0,0,0,0,0,0,0,
225,86.00098151278681,3.90125,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768.841,0,0,0,0,0,0,0,4489.0,0,0,0,0,0,0,0,4759.5566,0,0,0,0,0,0,0,0,0,0,6570.5747,0,0,0,0,0,0,0,0,0,0,0,
229,86.00528992546593,3.9050002,,,,,,,,,,,0,0,0,0,6188.0923,0,0,0,0,0,0,0,0,6756.201,4500.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5222.2534,3586.6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
237,70.0003026540363,3.9399998,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40616.45,0,0,0,0,0,0,0,0,0,0,0,0,33887.645,0,0,0,0,0,0,0,0,0,21927.922,0,0,
242,108.03702149269652,3.9458332,,,,,,,,,,,0,7220.7544,0,0,11682.051,5704.2046,0,5786.0,10138.149,0,4523.969,0,16517.041,0,10146.946,0,13080.484,16376.639,4641.714,11302.329,0,5370.632,0,0,0,0,0,0,0,0,7137.2676,0,0,0,0,0,12326.547,0,8718.288,0,4733.664,12759.494,13182.903,0,0,0,0,0,8961.562,4542.745,11700.738,20257.484,0,7782.3125,0,0,0,
246,108.03448349521877,3.9500003,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608.0,0,0,0,4374.0,0,0,0,0,6280.0,0,0,0,0,0,0,0,2234.8728,0,0,0,0,0,2684.0,0,0,0,0,9478.0,0,0,0,0,0,0,0,3794.0,
247,85.99986588428848,3.9516666,,,,,,,,,,,0,0,5199.0,0,0,0,0,0,0,0,0,0,0,0,0,2708.0,2676.0,0,4414.7197,0,0,0,5540.0,7633.0,0,0,0,8849.0,0,0,0,11321.309,5903.0,0,7546.0,0,0,0,0,7710.0,0,0,10071.0,0,0,9825.0,0,0,0,0,2954.0,0,8017.0,0,9882.448,5570.0,11546.0,
248,69.99892415092958,3.955,,,,,,,,,,,0,0,0,9324.056,0,0,0,0,0,0,0,0,0,0,0,8120.1216,0,0,0,0,0,0,0,0,0,0,3754.5642,0,0,0,0,0,0,0,0,8299.463,0,0,0,0,0,0,0,0,0,0,8601.4,0,0,0,0,0,0,0,0,0,0,
265,54.99316188988229,4.015,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10410.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7945.119,0,0,0,0,0,0,0,0,0,0,0,0,0,7453.529,0,
266,54.99715565066937,4.018125,,,,,,,,,,,0,0,0,0,0,0,0,9303.625,0,0,0,0,7364.1914,0,0,0,0,6871.5645,0,0,0,0,0,0,0,5988.826,0,0,0,0,0,0,13596.0,0,0,0,7300.471,0,10494.404,0,0,0,0,0,0,0,0,0,0,0,0,8105.581,0,0,0,0,0,
274,54.99513187598483,4.03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9584.995,0,22032.418,0,0,0,0,0,0,0,0,0,0,0,0,19475.488,0,0,0,0,0,0,0,0,0,0,22531.445,0,0,0,0,0,0,0,0,0,24732.379,0,24075.715,
277,108.03334418167849,4.034167,,,,,,,,,,,0,0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155.8372,0,0,0,3620.0,0,0,0,2499.0,6864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6129.0,0,0,0,0,0,0,0,0,
280,66.9913749325827,4.053,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2407.3262,0,0,0,0,0,0,0,0,0,0,0,0,1468.0,3175.0,0,0,0,0,0,0,0,1489.0,0,0,0,0,0,0,0,0,0,0,1186.0,0,0,0,0,0,0,0,0,0,0,0,
292,98.000107464343,4.130834,,,,,,,,,,,0,33298.08,19914.262,10567.523,0,20971.564,14658.951,19038.512,0,9981.06,17481.037,0,8038.0,18137.143,13238.972,0,19476.781,7473.0,20888.514,22404.652,42033.07,19743.164,26897.77,0,21858.502,0,22728.627,12105.645,11590.824,13965.723,15935.673,43343.316,23920.346,55959.496,14105.005,24836.533,10949.3,0,17531.604,0,11920.718,18180.586,16271.6,8598.57,46761.8,16565.19,27114.486,19462.473,19340.465,16013.874,16767.207,6642.133,21883.193,37787.918,53567.496,15024.633,76547.49,
293,97.99999909040483,4.1349998,,,,,,,,,,,0,0,0,0,15576.642,0,0,0,19728.162,0,0,24772.34,0,0,0,26190.684,0,0,0,0,0,0,0,21518.418,0,9338.425,0,0,0,0,0,0,0,0,0,0,0,11150.862,0,24820.732,0,19169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78711.0,
298,70.00044276943918,4.2183337,,,,,,,,,,,0,0,4548.0,0,3388.0,0,3205.1797,0,0,0,0,3982.0,0,0,0,0,0,0,0,0,6721.0,0,0,4876.0,4206.0,0,3754.0,2358.0,0,3170.0,0,0,0,0,0,0,0,2135.0,0,3890.0,0,3313.0,2892.0,1596.0,0,2420.0,0,0,0,0,0,0,4886.4805,0,0,2226.0,0,
315,89.99728716304944,4.2475,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232.0942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.2578,0,0,0,0,0,3588.7356,0,3967.347,
321,55.00000000000001,4.265,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8649.0,0,0,0,0,0,0,0,0,0,0,5058.838,0,0,0,0,0,
336,66.99504985216583,4.293,,,,,,,,,,,0,0,970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.9866,0,0,0,0,0,0,0,1025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044.0,0,1276.0,0,0,0,0,0,0,0,0,
350,60.95193108676703,4.3310003,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5035.403,0,0,0,0,10758.412,0,0,0,0,0,0,0,0,0,0,10596.55,0,0,0,0,0,0,0,0,0,0,0,0,10216.866,0,0,0,0,0,0,0,0,0,9697.481,0,0,
366,57.003274199890676,4.38,,,,,,,,,,,0,0,0,0,2572.1958,0,0,0,2777.0,0,0,0,0,0,0,2613.1323,0,0,0,0,2789.2556,0,2748.0,0,0,0,0,0,0,0,0,0,0,3343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
380,60.95535353290979,4.4066663,,,,,,,,,,,0,0,5391.0,0,0,0,0,0,0,1142.0,0,1826.7205,2358.0793,0,0,0,0,0,0,0,0,0,0,0,0,0,8442.0,9743.0,0,900.0,0,0,8692.0,0,5421.0,0,0,0,0,0,0,2408.0,3460.7454,1111.0,0,0,0,0,0,0,0,0,0,0,2255.2017,3729.0,2497.6191,
414,71.02411753229542,4.502222,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1460.0,0,1389.0,0,0,0,0,0,0,0,0,0,0,1753.0,964.0,1582.0,0,0,0,0,0,0,1701.5969,0,0,0,884.0,0,0,0,0,0,0,0,0,0,0,0,0,1325.0,0,1542.4047,0,0,0,0,
427,84.02413008107104,4.563077,,,,,,,,,,,0,0,0,0,0,0,2783.0,0,3318.0,1475.3733,0,0,0,0,0,2708.0,0,0,0,0,1534.0,0,0,7090.6284,6259.0,0,0,0,0,0,0,0,6256.0,2962.2913,2988.0,0,0,0,0,0,0,0,0,0,0,1432.0,0,0,2678.1582,0,0,0,0,0,2925.3137,0,0,
433,54.998405332696315,4.596667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615.0,0,3374.0,0,3606.0,0,0,0,0,0,3086.0,0,0,0,0,0,5967.0,3234.0,0,0,0,0,0,3126.0,0,2486.5122,0,0,0,0,0,0,0,0,0,0,0,0,0,4606.0,0,
440,72.00796818967952,4.635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.353,0,0,1077.0,0,0,0,0,0,0,0,0,0,0,0,
449,60.951366763207695,4.72,,,,,,,,,,,0,46340.758,0,0,0,41474.11,0,41577.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35160.652,0,0,0,0,0,0,0,
