row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,10_QC.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,9_QC.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,65_QC.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,21_QC.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,66_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,32_QC.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,55_QC.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,44_QC.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,
5450,49.981743555359444,19.900715,,,,,,,,,,,0,0,0,0,0,0,0,611.6548,2551.3752,0,0,956.45764,0,0,0,1131.3547,0,571.81006,0,716.3377,0,2359.4927,1150.4933,1900.2645,1925.3086,896.7872,1074.5328,0,1347.6969,723.2027,0,0,669.5564,0,1291.1814,1746.6721,2351.4424,0,0,1084.2675,1732.0078,0,1121.4005,492.33377,1542.9376,0,858.847,1298.2354,0,547.6244,0,0,2066.939,0,0,627.6221,0,
4363,49.98407282552933,16.443636,,,,,,,,,,,0,515.1909,0,529.55707,515.8947,821.3089,859.0487,503.882,868.0906,580.9843,0,1137.631,0,711.169,819.51587,741.6473,644.01733,453.07944,663.22424,0,619.03595,1180.7313,1185.8525,1059.5691,926.7025,496.75317,580.6728,0,820.85944,688.17523,502.98593,0,540.17194,0,790.0261,849.24255,845.4737,0,628.5031,684.6398,1062.8562,0,777.47174,659.6878,920.84045,454.3452,950.4894,738.6175,0,498.31512,672.95325,537.2468,924.7264,0,531.3691,635.44525,0,
2166,49.984374611557385,8.915,,,,,,,,,,,0,0,0,0,0,458.22882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.54788,0,480.09415,461.60413,0,0,0,0,0,0,0,0,0,0,0,470.63617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1088,49.98461200735807,5.5213337,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,550.3723,0,0,504.40372,0,0,0,0,0,566.8382,744.0049,551.67474,0,0,0,0,0,0,0,0,0,0,0,723.87415,715.80286,835.92645,0,0,0,0,540.17426,0,505.5783,0,0,689.86694,0,540.9019,0,0,0,700.2965,0,504.74207,451.96567,0,
909,49.9846263456526,5.063182,,,,,,,,,,,0,0,0,0,0,0,519.7679,0,0,0,0,486.50146,0,0,0,0,0,0,0,0,0,0,540.75415,0,0,0,0,530.7859,0,0,0,0,0,0,0,0,0,0,0,0,474.5358,774.2017,0,839.1213,0,0,520.8045,456.58582,1411.1915,0,0,0,0,0,0,761.3583,0,
858,49.98491996635959,4.964583,,,,,,,,,,,0,485.1749,0,0,471.8738,0,0,453.29257,0,451.27036,0,0,0,0,0,480.57437,0,0,0,0,0,0,462.89407,527.21216,556.1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.44458,0,0,0,505.4884,0,474.11246,0,0,0,0,0,451.76462,0,
1992,49.98605802470303,8.351666,,,,,,,,,,,0,480.6463,0,0,560.51294,0,0,490.2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2498,49.986127708128855,10.280001,,,,,,,,,,,0,586.3043,0,0,631.6398,0,0,529.55054,0,750.1556,0,764.56915,0,810.84015,0,777.2867,0,471.13077,0,0,0,463.05786,674.985,535.1337,575.2413,0,0,0,600.8094,0,0,0,805.864,0,0,0,522.0007,740.46124,0,0,0,0,0,458.2841,0,0,848.53516,655.9774,0,875.8156,0,0,0,0,0,0,0,
3174,49.9862586017146,12.73311,,,,,,,,,,,0,1294.406,738.7558,548.0154,1364.9503,1016.30334,781.62665,1247.053,592.6953,1842.4331,606.34326,1249.2874,571.53546,1691.8656,0,1772.3295,671.26184,818.7153,706.82117,568.879,0,616.4521,1203.2314,838.2439,948.9431,677.66327,624.99445,670.525,1114.7339,736.3501,643.4554,823.33734,1474.7709,645.5221,1289.2073,1335.6096,637.18243,1598.374,616.4119,790.08856,1085.9794,890.13403,1180.6963,1014.3903,1061.2305,1330.2416,1167.9996,1149.097,867.3236,1734.19,940.883,1200.4335,1435.5498,818.5754,0,955.1808,839.9098,
1677,49.98922012182405,7.2075,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,508.96698,0,571.77216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.82904,0,0,0,0,0,0,0,0,0,0,0,478.7437,0,0,0,0,
5046,49.98928361907888,18.883333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.91534,0,493.04578,0,493.32626,0,0,0,0,0,0,0,0,0,0,0,0,
3120,49.991089924843266,12.593,,,,,,,,,,,0,0,0,0,0,0,610.168,0,0,0,0,494.44556,0,0,0,0,0,0,0,0,0,0,538.5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.1661,0,0,0,455.14972,0,0,0,0,0,0,0,0,0,0,0,0,
7093,49.99115309672019,22.775,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.4358,0,0,0,0,0,0,0,0,533.9732,0,0,0,497.8421,0,0,0,0,0,0,523.04315,540.255,0,0,0,0,
9729,50.97582278724916,27.587997,,,,,,,,,,,0,0,0,596.6237,0,0,0,0,0,0,0,0,0,0,0,0,510.83066,0,586.38904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.3828,0,0,0,0,0,0,0,0,0,0,0,602.94116,0,0,0,0,0,0,0,
1039,50.977084258544544,5.387308,,,,,,,,,,,0,0,0,0,0,516.2906,0,0,518.46716,0,0,590.34717,0,0,0,0,0,0,0,0,0,512.05493,879.1661,0,458.1337,0,0,0,0,0,0,0,0,0,0,0,540.0144,0,460.54758,496.8045,0,0,465.679,0,505.5943,0,720.2396,0,0,0,0,0,0,0,0,519.2396,0,
877,50.98579501766736,5.0583863,,,,,,,,,,,0,541.3576,0,0,526.28864,0,1154.407,0,610.4809,0,0,577.7519,0,523.95715,0,545.09906,0,0,0,0,467.6064,503.31906,561.6077,626.7225,0,0,506.0811,588.237,504.1958,464.13043,496.02908,0,0,0,0,499.67114,492.085,0,0,514.067,874.68195,667.8611,520.52435,780.16473,723.59625,509.9042,575.67834,0,1050.624,0,489.85486,0,502.58417,0,523.96014,652.10266,0,
465,50.97841044792803,4.0459375,,,,,,,,,,,0,0,635.0013,0,0,0,565.4969,0,491.91107,0,0,536.7257,0,0,826.9774,0,0,0,0,0,0,514.7607,537.10034,0,0,0,0,0,0,0,0,0,0,472.3367,0,0,0,0,0,468.97842,0,0,0,0,0,0,509.4933,0,0,0,0,534.083,613.03955,591.52563,857.9853,450.13043,657.5835,
1090,50.979595290500455,5.5237503,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,484.88788,0,0,0,0,0,0,0,0,0,551.8735,450.28702,0,0,0,0,0,0,0,0,0,0,0,507.78033,543.59595,514.2825,0,0,0,0,0,0,0,0,0,514.4776,0,0,0,0,0,573.10394,0,0,0,0,
959,50.97962196744097,5.1825,,,,,,,,,,,0,0,485.34683,0,0,0,0,0,570.9974,0,0,0,0,0,0,0,0,0,523.5414,0,0,481.29977,0,0,537.7555,0,0,0,0,0,0,0,0,0,609.02454,599.8679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.7068,453.4544,0,0,467.62766,
83,50.981387745004255,3.3229036,,,,,,,,,,,0,770.5306,0,1012.2001,807.5142,1244.9121,1004.44885,725.81793,930.22003,0,0,990.8264,0,1103.3456,1201.6306,0,0,887.2373,0,0,0,966.153,997.91797,1065.1779,1178.8695,765.5237,0,0,1122.1582,0,890.74634,0,0,0,1206.541,0,947.8006,0,1101.3629,953.8408,1083.1985,0,1035.1141,0,1122.3345,0,955.238,1170.3312,861.56586,0,0,0,1345.7957,0,1097.376,1023.2713,0,
512,50.98157653693745,4.129711,,,,,,,,,,,0,735.24713,1340.7091,1011.31287,728.06573,989.73846,0,691.7175,700.08563,794.7231,0,537.7692,646.40076,885.3243,1907.0696,915.2413,810.3197,542.16016,1091.2112,0,1461.4769,827.084,491.73685,647.0729,665.02026,550.9353,548.46027,0,894.79175,705.1053,611.39,665.2527,574.254,725.864,797.50604,824.8228,763.90814,578.4204,823.77216,758.25696,592.3959,453.5067,582.4472,579.5665,579.62537,768.8915,542.58417,861.73193,451.1955,693.3864,812.102,862.75055,963.12915,1256.2661,1464.761,650.0402,1243.3995,
2170,50.98639647258924,8.91611,,,,,,,,,,,0,0,0,0,0,644.9366,575.10394,0,597.8424,481.67865,0,642.8611,0,452.80713,0,488.41092,460.42398,0,0,0,0,702.9274,574.79767,605.917,681.6028,0,480.017,0,547.203,526.19775,0,0,0,0,508.67047,584.1056,709.1033,0,0,475.58386,525.36383,0,561.3416,0,502.88657,0,498.44983,608.97485,0,0,568.0784,0,526.0026,0,0,453.10526,0,
6282,50.982825944277735,21.022858,,,,,,,,,,,0,0,0,0,0,460.53253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.4505,0,0,0,0,0,0,0,0,0,519.65546,539.4325,0,0,0,0,0,0,559.0677,0,487.2393,0,0,0,0,0,0,0,553.358,0,0,0,0,
18255,50.98308201991633,47.37,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,475.9222,0,0,0,0,0,0,0,0,0,0,560.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.7673,0,0,0,0,0,0,0,0,0,0,
634,50.98361177508678,4.39,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.65576,0,0,0,0,0,0,0,0,456.11508,0,477.28867,0,0,0,0,0,0,0,0,0,0,0,513.34094,0,0,0,0,0,0,0,0,0,
217,50.98364025651697,3.5533335,,,,,,,,,,,0,0,0,0,0,0,635.8431,527.2037,0,0,0,0,0,0,0,0,0,0,0,0,737.0072,0,0,0,0,0,0,568.949,0,616.34033,0,0,0,0,0,0,620.42596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6310,50.98368278083506,21.1175,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.00916,0,0,0,452.61295,0,0,0,0,0,477.76364,0,0,0,0,0,0,0,0,0,0,0,456.28702,0,0,0,0,0,0,0,0,0,0,
2613,50.9839246717796,10.603499,,,,,,,,,,,0,0,619.1932,0,0,488.22687,545.66724,0,465.5116,0,0,0,0,0,0,451.1128,0,0,0,0,0,450.11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.74142,0,0,0,0,0,0,0,0,0,0,0,0,503.81955,474.57437,0,0,468.72964,
6041,50.983936949020894,20.617619,,,,,,,,,,,0,497.70676,0,0,557.02454,570.58453,0,0,0,460.87283,0,491.03564,0,0,463.0958,0,0,0,472.40863,0,0,681.41846,507.1628,596.0961,0,0,0,0,559.61884,0,0,0,0,0,630.3946,684.19415,684.48706,0,0,540.25464,0,0,564.8823,0,638.49524,0,533.95355,592.77997,0,0,526.7774,0,0,0,0,456.9173,0,
10363,50.983967089817625,28.175001,,,,,,,,,,,0,0,0,813.8712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.78357,0,0,0,0,0,0,0,0,0,0,0,0,0,796.2442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.4688,0,0,0,0,0,0,0,
1229,50.98402366229042,5.887143,,,,,,,,,,,0,0,469.48544,0,0,0,0,0,0,0,0,0,0,0,522.44653,0,0,0,0,0,552.0327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.65936,0,0,0,0,514.29486,542.3923,0,538.7826,
9826,50.98430712138318,27.68375,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.25073,0,0,0,0,0,0,0,0,0,0,0,0,0,647.7434,575.2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.13434,0,0,0,0,0,0,0,
1695,50.984506853076425,7.2251177,,,,,,,,,,,0,685.61523,616.58124,721.50507,711.0085,742.21936,680.7035,579.41907,0,746.4119,527.78296,551.10986,0,978.6352,0,963.9768,555.5306,0,833.0778,0,0,710.23505,557.0147,561.94507,0,549.59467,714.47534,0,690.051,714.356,582.2027,729.0719,751.53613,0,855.39197,1042.6766,692.5528,593.3616,548.7192,558.286,1007.9052,461.51062,801.8915,553.2259,924.7712,699.6613,460.2014,735.21906,0,727.14087,723.33374,717.6273,1146.5453,0,0,610.7872,0,
414,50.98456155851876,3.944833,,,,,,,,,,,0,0,538.78094,0,0,525.8287,0,0,0,471.24878,0,682.41125,0,488.1481,575.7888,453.02026,528.6054,0,503.85812,0,474.01437,591.9938,672.7515,528.4861,548.3645,0,0,0,0,0,0,0,0,0,522.3684,580.61786,575.0353,0,514.5793,454.51685,507.8689,0,508.70544,0,479.4214,0,630.3887,0,0,0,471.695,469.05786,613.03467,535.3243,496.03366,549.42267,576.526,
5967,50.98470342787899,20.534,,,,,,,,,,,0,516.00946,0,0,581.51355,0,0,0,0,0,0,0,0,608.3266,0,575.76465,0,0,0,0,0,0,0,0,0,0,0,0,579.8794,0,561.6584,0,0,0,0,0,0,0,0,0,705.4175,0,0,453.7764,671.86206,0,0,0,0,0,0,0,0,0,0,483.29846,0,
571,50.98475157559699,4.255625,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.59268,0,0,0,551.9405,0,0,0,0,0,0,0,0,535.0337,0,0,0,0,0,613.6348,0,0,0,0,0,0,456.16345,0,0,0,0,0,492.57666,685.5449,0,0,0,0,519.2037,0,
4110,50.98486524893021,15.89625,,,,,,,,,,,0,0,0,0,0,477.31384,0,0,0,0,0,0,0,0,0,0,465.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.04413,0,459.02353,0,0,0,0,
5506,50.98492943944869,19.97,,,,,,,,,,,0,1903.4097,0,1070.0481,2123.1936,2055.1426,3956.3713,1159.0513,0,0,0,0,460.3707,2386.748,599.4014,0,938.49164,0,1162.8401,1404.8107,0,0,0,0,0,0,0,615.99445,0,0,0,961.6646,0,522.2769,0,0,0,604.98694,879.2622,0,0,0,0,0,0,709.3462,0,0,0,0,1954.4198,869.5302,0,0,0,0,0,
999,50.985020464366166,5.292105,,,,,,,,,,,0,0,627.0706,601.85254,0,0,0,0,706.2174,0,0,0,0,0,0,0,580.6829,0,702.0108,0,0,676.00195,0,628.9431,633.18604,0,0,0,0,0,0,0,0,464.41223,884.0644,1104.9741,706.9477,0,518.02484,0,722.06177,0,632.1249,0,771.9464,0,0,0,0,0,0,0,1111.7944,541.29517,0,0,575.2488,
4216,50.98506673776409,16.11,,,,,,,,,,,0,0,0,0,0,509.695,484.48218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.88297,0,0,0,0,0,0,0,0,0,0,0,0,0,493.34653,0,0,0,0,487.00195,460.45963,0,0,0,0,0,
9489,50.9856961745446,27.401001,,,,,,,,,,,0,0,0,492.102,0,0,0,0,0,0,0,0,0,0,459.7254,0,503.99936,0,541.6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.33246,487.13666,555.90454,0,0,455.42596,0,0,0,0,0,0,0,0,0,0,507.4959,0,0,545.9595,0,0,0,0,
37,50.98546059899872,3.2375932,,,,,,,,,,,0,707.4557,1022.9921,1131.4097,734.6705,1350.965,918.8483,762.3387,738.11835,1287.1504,899.17944,950.88,1319.0294,1133.3168,1315.5135,1147.4818,1391.8085,943.9062,1542.5681,688.56525,1320.694,912.8267,930.90784,1082.8925,1199.4672,0,905.3495,821.7823,1090.746,1019.89966,861.64795,1043.4482,991.21246,1281.7473,0,1329.3289,933.85455,1197.8405,1277.202,819.324,918.1458,967.96014,1078.1354,1019.95654,994.17883,1469.7021,928.05914,1230.8342,1055.3452,1207.4966,1313.9261,1324.9127,1289.373,1093.3031,1278.2275,1018.5038,1093.7549,
244,50.98555045235217,3.61625,,,,,,,,,,,0,0,818.6924,0,0,0,0,0,0,0,0,501.9065,0,0,709.4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667.4619,0,0,
2812,50.98564625122653,11.432501,,,,,,,,,,,0,0,564.09515,0,0,0,0,0,0,0,0,0,0,0,482.29095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.9961,0,0,559.14905,
6171,50.98566456726866,20.89,,,,,,,,,,,0,0,0,0,0,0,506.54788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.6852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.9441,0,0,0,0,
179,50.98621826346379,3.49,,,,,,,,,,,0,0,785.65906,0,0,0,0,0,0,0,589.8699,0,0,0,0,0,0,0,0,526.42725,0,0,0,0,0,0,0,0,0,0,678.1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.3802,900.9271,0,768.13434,
662,50.98624416502503,4.4558334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.02844,470.75745,0,0,0,0,476.50278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.4178,0,0,0,0,0,0,0,0,486.5175,0,0,0,0,0,0,0,0,0,0,548.254,
864,50.986281633942895,4.971411,,,,,,,,,,,0,549.1092,463.37985,0,552.23895,559.49133,522.2043,494.2501,0,519.63324,0,595.458,472.14612,507.77313,546.8274,557.6283,473.3962,509.60345,494.76004,0,527.89246,0,522.1657,644.8346,640.2092,0,0,0,513.4096,0,0,0,462.92056,0,497.1056,463.9026,0,506.36777,487.25467,529.8323,0,534.1497,528.91565,531.7028,0,532.70447,504.23178,576.48315,469.9186,517.0082,0,509.1471,520.54266,548.2586,0,539.21967,524.1945,
6688,50.98668166294936,21.893333,,,,,,,,,,,0,0,0,0,0,0,456.94083,0,547.6312,0,0,0,0,0,0,0,0,0,0,0,0,525.3616,0,0,0,0,0,0,0,0,0,0,0,0,0,469.20987,577.25104,0,0,0,475.62766,0,472.8895,0,468.62863,0,0,0,0,0,0,0,486.626,0,0,0,0,
8078,50.98669803157981,24.88432,,,,,,,,,,,0,555.3622,0,0,655.15204,464.7934,0,668.0971,0,791.2292,0,776.21216,0,730.41547,0,689.6888,0,466.13632,0,0,0,0,717.647,534.39325,661.1965,0,0,0,597.6329,0,0,0,832.98334,0,544.55115,541.3799,0,802.13336,0,0,0,0,0,0,0,471.00818,676.7545,688.03986,0,1039.6868,0,0,525.3906,0,0,0,0,
