row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,53_Brote_24_ 8mg_2.mzXML Peak height,65_QC.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,21_QC.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,9_QC.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,10_QC.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,55_QC.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,44_QC.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,66_QC.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,5_Ext_blank.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,32_QC.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,
394,55.00010330575501,54.767715,,,,,,,,,,,18967.582,47773.31,18256.576,71521.7,55587.16,72476.195,62354.355,47781.28,69439.38,17951.773,49245.72,28055.762,47024.754,60260.63,52686.723,62873.23,65128.26,65167.58,27894.652,71029.8,49074.047,65819.914,62474.418,65672.65,67097.195,55278.09,73638.62,103892.984,102884.95,68552.99,1372.1052,108011.14,78246.82,63674.695,28402.742,62009.547,57897.45,49750.156,67560.766,74364.55,91634.91,63166.62,59940.504,58609.918,56550.68,105677.695,108792.98,66539.016,73255.81,87385.75,90480.625,59962.062,113628.38,61843.18,63415.84,55362.43,65018.805,
344,56.00735555514378,54.767048,,,,,,,,,,,1547.7843,2930.9583,1454.2838,4162.0796,3158.4517,4133.7104,3827.0452,2944.4978,4084.5518,1666.5322,3027.2688,1916.61,3041.558,3559.602,3022.3752,3736.1536,4171.0527,3680.5457,2037.4672,4023.2537,3158.1912,3833.5093,3691.1184,4024.836,3670.2153,3283.1833,4305.791,5824.115,6017.9194,3835.2258,0,6021.939,4371.8423,3929.8228,1995.9006,3448.515,3649.0269,3257.4163,3805.3455,4233.853,5333.9346,3905.5332,3648.1655,3361.8958,3431.105,6251.6284,5916.6396,3821.8247,4498.5317,4577.5186,5073.001,3840.3384,6015.397,3503.5884,3584.2668,3338.1619,3725.759,
605,56.01758184870083,55.62838,,,,,,,,,,,1086.6191,1369.0994,1036.4685,1739.4557,1778.7228,2314.1877,2022.6711,1578.8196,1792.4746,1175.3053,1633.9081,1630.6525,1518.4027,1795.7944,1556.7518,1958.3063,1681.4263,2876.7288,1719.4097,2285.034,1786.337,1632.1173,1904.8077,3085.6047,2363.476,1593.3838,1772.6162,2134.385,1999.3312,2060.3306,0,1943.1761,3013.8503,1607.1915,1659.6561,1514.866,2108.0503,1723.7068,2128.7766,2760.0117,1922.2363,2045.7803,1908.15,1836.1216,1990.0117,2009.6375,2023.2655,2143.932,3255.1455,1637.8196,1630.1461,1650.374,1969.3406,1631.3442,2077.207,1211.1664,2120.0457,
127,56.01769790529328,54.317398,,,,,,,,,,,0,963.1883,0,1403.8676,1144.7267,1597.6326,1603.5728,1161.1465,1364.782,0,1258.7224,0,1257.4005,1314.256,1073.2184,1382.0543,1627.7761,1724.2455,0,1623.5544,1359.2671,1212.3589,1445.9268,1967.3236,1278.2759,1102.1962,1327.1863,1786.2291,2150.2083,1381.2605,0,1858.0886,1853.4384,1434.3033,0,1055.9379,1529.9915,1370.05,1418.7976,1582.3027,1772.54,1487.2416,1293.0844,1168.9977,1442.9497,2002.9088,1750.7701,1403.8385,2164.1382,1434.998,1476.1062,1579.2445,1830.7758,1185.2776,1432.0804,1065.8555,1464.5823,
400,57.00184550305142,54.767857,,,,,,,,,,,5683.2544,11240.296,5676.461,17041.244,12693.91,17007.936,15275.128,11795.456,16305.223,5857.2153,12041.866,7278.0483,11581.933,14639.181,12139.217,14786.093,16064.263,15400.495,7584.466,16634.55,12397.818,15569.017,15061.405,16077.746,15123.605,12743.531,17020.373,24272.525,25068.375,15594.833,0,25150.701,18424.29,15564.734,7481.0264,14128.901,14357.412,12659.265,15906.7295,17332.27,21393.346,15616.644,14087.854,13787.675,13465.719,25301.74,24901.104,15388.572,17691.438,19883.562,20457.008,14746.454,25445.904,14436.025,14685.418,12693.274,15091.991,
647,57.00228951899088,55.62901,,,,,,,,,,,6583.0874,12773.473,6501.3594,15073.786,18398.18,22628.705,17705.383,13318.626,15080.712,6696.5684,13454.963,14587.013,12858.914,15732.708,14918.746,19889.176,13294.511,32404.465,14699.102,23803.676,14204.94,14356.576,17506.674,32570.82,27258.346,15214.641,15105.462,19054.213,15099.661,21319.074,0,14896.383,30829.451,12811.731,15162.502,13161.865,18341.605,14206.171,21294.51,29684.371,15593.713,17042.102,16610.95,18277.434,19419.65,15369.839,20530.63,22430.924,35109.746,14335.316,14930.994,11680.755,20441.443,16226.136,21466.227,10168.646,21455.04,
178,57.002907484153305,54.318306,,,,,,,,,,,0,7353.9863,0,8857.759,9976.593,11555.252,10579.586,6794.801,8738.6,0,8070.908,6134.43,7825.451,8711.508,8264.823,9560.785,11124.487,15488.581,6502.684,13086.7295,7650.4795,8333.583,10081.79,16449.143,11850.585,8357.744,8839.258,15554.068,13210.224,10302.989,0,13300.878,15235.574,8155.3374,6551.397,7132.012,9562.634,7716.5503,10774.713,14464.887,12953.066,9457.912,9608.172,8759.439,10896.551,13471.436,15810.416,12248.098,17856.758,11748.969,12061.256,10299.739,16186.109,8358.704,11565.523,8296.742,12392.039,
360,58.00210144418551,54.767235,,,,,,,,,,,0,0,0,1095.173,744.44196,1128.1033,1144.541,798.7297,992.1984,0,845.324,635.085,853.0605,965.77637,0,989.3171,1049.1416,968.3867,0,1042.0461,867.2638,930.2439,996.9176,1055.4296,905.1965,820.2399,1079.4158,1482.1948,1589.106,976.1811,0,1628.867,1230.4675,1057.5757,596.39264,0,951.33575,0,965.25366,1015.52924,1348.6084,1065.1935,934.7228,912.2962,866.91437,1607.4106,1389.0107,902.74896,1144.5568,1105.7705,1181.0896,995.3318,1447.4939,914.3256,929.2795,0,947.0118,
114,58.003402178824906,54.317333,,,,,,,,,,,0,0,0,631.0226,694.55707,903.5074,799.30695,550.82574,626.27985,0,635.0363,505.36743,592.202,640.6924,0,700.3655,819.8094,896.6744,0,851.6505,650.79504,636.62146,743.1873,1026.5527,696.7261,591.6195,678.4586,948.881,1008.85455,753.0438,0,1026.3969,1008.8787,647.58417,0,0,748.88165,0,747.3622,911.2403,926.4312,761.0778,702.4178,670.9585,745.92316,0,1015.38605,809.252,1121.1204,756.32104,763.6165,790.62274,935.55804,638.985,738.14087,0,798.21344,
622,58.00513937757673,55.62862,,,,,,,,,,,0,0,0,950.76855,1051.6051,1320.256,1185.3335,880.62177,927.1282,0,897.15265,950.252,829.85876,1023.59595,0,1178.3345,970.4799,1718.4473,0,1346.527,988.4508,893.07587,1049.0765,1808.0356,1408.9137,904.5871,999.98755,1193.0085,1168.5743,1213.7358,0,1109.221,1666.7695,902.28735,947.89343,0,1094.2909,0,1248.631,1581.2946,983.66003,1135.9546,956.65643,1123.0752,1186.5204,1146.7944,1206.4691,1145.8911,1929.8206,907.19257,915.8689,840.73065,1186.6914,941.35406,1228.9634,0,1220.3661,
222,58.98469888202023,54.688,,,,,,,,,,,0,979.15234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.5656,0,0,0,0,0,1726.1572,0,0,1630.761,0,0,1179.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,58.984714478469655,54.758636,,,,,,,,,,,1005.6813,0,1057.8745,0,0,1116.0154,0,1105.7405,1064.4132,0,0,1190.4214,0,1128.6992,958.1605,1002.29,1101.4985,0,0,1045.1824,0,1028.9291,1117.6904,970.57996,899.2628,981.44653,1025.8787,1111.0284,1725.233,1036.2291,0,0,1122.5652,902.3576,0,964.4387,934.28345,0,1100.337,1065.015,1147.286,0,1075.577,957.42664,980.33997,0,1110.3802,1037.4655,1133.9741,1040.4253,1040.4119,973.9778,1171.9507,1021.92053,0,940.33673,987.36774,
704,58.98983767552299,55.63409,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.89703,1086.5334,972.7136,0,0,0,0,0,1013.6201,0,0,0,0,0,1032.8931,0,0,1126.1364,0,0,0,940.846,0,0,1076.3331,0,0,0,0,0,0,0,990.37006,1076.2576,0,0,0,0,0,0,0,1051.0785,
841,59.96753425890372,56.224995,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328.8048,0,0,1160.4152,0,0,0,0,0,0,0,0,0,0,0,0,0,1375.0095,0,0,0,0,0,0,0,0,0,0,0,
826,60.95631449985634,56.22,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567.0442,0,0,1248.4594,0,0,0,0,0,0,0,0,0,0,0,0,0,1680.965,0,0,0,0,0,0,0,0,0,0,0,
843,64.98122882007058,56.225002,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297.8519,0,0,1031.8967,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.487,0,0,0,0,0,0,0,0,0,0,0,
169,64.98245189257044,54.31802,,,,,,,,,,,0,621.94867,0,826.32526,764.61096,1014.5005,858.2847,696.1033,795.8261,0,603.5855,605.47955,629.26544,785.729,680.55475,800.54004,996.3978,1192.3396,627.1481,1105.2969,806.05817,773.0333,855.48645,1212.4027,927.4292,757.75385,812.89374,1130.1416,1102.8153,863.5682,0,1106.1981,1180.9467,665.2707,627.73944,626.29553,806.9739,785.1422,894.188,1126.9509,1063.4282,842.2789,824.4534,771.5613,947.6881,1165.496,1203.2014,1028.7999,1407.354,1009.9686,1010.09155,861.90027,1286.7103,773.2259,967.35144,702.42365,959.13434,
395,64.98538004092072,54.767735,,,,,,,,,,,0,1772.255,0,2501.4087,1871.4119,2506.949,2205.5696,1782.9039,2461.2864,0,1632.503,1201.6349,1547.1843,2038.7944,1868.0828,2225.6936,2312.9453,2256.8794,1170.797,2507.9219,1883.051,2195.917,2302.219,2184.0828,2314.9597,1906.879,2534.8496,3363.114,3634.484,2396.952,0,3653.7437,2698.7283,2066.7668,1190.9287,2081.8079,1974.6653,1882.5406,2277.0967,2637.5662,3035.6328,2231.2961,2096.5745,2044.5806,2015.3975,3593.5806,3443.461,2390.3445,2611.6191,2847.2383,3080.0625,1971.9739,3732.105,2189.4954,2218.9722,1958.068,2189.305,
668,64.98606209091481,55.6295,,,,,,,,,,,0,851.2445,0,980.3867,1042.4734,1361.579,1217.627,929.0379,1060.8015,0,804.2867,1023.83295,764.91797,1145.5015,985.54266,1244.5322,946.02716,1797.847,1084.7551,1480.0288,962.4946,952.21967,1172.781,1863.6064,1501.2034,961.5041,1058.2776,1177.6263,0,1373.9526,0,1168.0627,1760.1445,884.0909,1060.9579,859.6728,1081.5907,996.89246,1351.255,1794.565,999.97125,1141.3417,1110.2625,1217.2122,1222.5178,0,1237.408,1352.0402,1979.9081,949.33704,973.02057,809.40436,1321.7787,1025.4391,1358.0056,686.8794,1337.1294,
159,66.021296480094,54.31785,,,,,,,,,,,0,0,0,478.51782,0,572.90356,571.53613,0,486.3063,0,0,0,0,0,0,531.4328,577.12683,586.22363,0,568.3835,0,408.01276,551.2703,683.3429,0,0,482.39032,634.711,709.492,508.11606,0,661.80286,674.3616,434.21118,0,0,0,0,551.4727,630.9892,618.65283,587.22754,473.18634,0,503.9042,729.6165,685.38184,567.00946,779.23895,501.41486,508.47107,491.491,695.3259,528.27167,529.9359,0,566.1572,
671,66.02991681670545,55.629574,,,,,,,,,,,0,0,0,537.15594,0,743.1605,639.2864,0,537.0765,0,0,0,0,0,0,657.29224,524.38184,905.6113,0,781.3939,0,499.07812,641.5466,905.59467,0,0,561.6149,676.2638,0,665.23865,0,667.6476,930.0713,456.8199,0,451.72345,0,0,700.80225,849.0,606.083,649.63354,569.5986,0,621.3563,641.12555,709.20135,675.9882,1011.6149,512.5567,492.52893,466.30664,652.32855,599.2743,673.43054,0,678.9951,
407,66.0403124761386,54.768623,,,,,,,,,,,0,0,0,1039.489,0,1125.8116,1024.3193,0,1003.9307,0,0,0,0,0,0,989.7627,963.63354,937.74927,0,1110.5024,0,944.57697,998.25824,1037.0817,0,0,1080.2747,1439.0935,1490.4705,1037.6094,0,1583.4783,1102.4247,882.1569,0,899.85156,0,0,1047.4177,1094.2749,1255.676,1052.1327,890.729,0,905.879,1498.2632,1482.8584,1021.71655,1128.9539,1174.9398,1221.7767,929.79047,1497.2396,906.94147,933.58386,0,954.2707,
173,67.0,54.318115,,,,,,,,,,,0,5629.0425,0,6894.2437,7555.6006,9203.498,8166.218,5511.7236,6795.285,0,5489.7383,4425.531,5512.532,6799.267,6477.846,7578.925,8647.617,11697.014,4966.777,10431.222,6073.8384,6208.7393,8227.203,12430.343,8801.662,6529.498,7102.33,11037.882,10545.919,8377.064,0,10683.466,11757.147,5967.3584,4887.226,5401.6553,6923.8696,5991.041,8313.78,11381.698,10025.004,7498.0093,7546.7896,6758.0586,8175.7407,10329.269,11993.454,9969.328,14123.416,9206.288,9307.54,7555.4663,12671.013,6385.904,9279.073,6523.8604,9380.394,
372,67.0,54.767406,,,,,,,,,,,7549.229,17806.934,7255.295,26641.555,19835.777,26704.389,23501.365,18025.232,25190.602,7321.557,17400.416,10662.375,16634.668,22179.65,19213.328,23295.205,23734.799,23464.91,10761.815,26200.646,18455.984,23365.312,23207.014,23784.549,24168.35,20693.727,27053.936,36088.434,37926.7,25289.686,0,39355.7,28814.248,22586.629,10907.506,22455.441,21032.377,18715.244,25109.967,27391.564,33710.64,23055.436,22644.787,21984.904,20488.059,38481.926,38215.793,24441.664,27632.27,31411.896,32759.408,21338.777,41386.766,22714.518,23585.332,20326.303,23862.492,
641,67.0,55.628834,,,,,,,,,,,4332.2627,8566.323,4467.55,10149.12,11669.62,14712.58,11397.185,9058.343,9859.444,4505.833,8294.81,9789.25,7721.2803,10307.09,9845.667,12829.793,8547.19,20487.684,9761.478,15590.08,9348.66,9165.939,11766.023,20219.586,17183.627,10027.829,10377.161,11938.717,10185.877,14421.14,0,10125.806,19810.4,8098.9614,9834.656,8476.895,11489.249,9304.518,14051.489,19474.32,10246.506,11105.566,11198.461,12055.824,12516.171,9981.738,12831.408,15038.191,23107.824,9600.05,9749.753,7169.7334,13405.317,10636.26,13836.201,6570.535,13790.141,
745,67.0,55.716663,,,,,,,,,,,3821.7659,0,3877.746,0,0,0,0,0,0,3871.0457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
872,67.0,56.258335,,,,,,,,,,,4085.5186,0,4195.5327,0,0,0,0,0,0,3756.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,68.01461344153114,54.31788,,,,,,,,,,,0,1042.6826,0,1479.4188,1228.0327,1771.2874,1706.0261,1258.0912,1438.6371,0,1095.5476,983.779,1166.5453,1477.2441,1166.4315,1513.983,1756.1691,1855.172,0,1813.7113,1474.5819,1314.5192,1606.3145,2244.542,1349.3723,1150.2275,1437.6417,1897.8029,2333.1946,1467.1171,0,2128.02,2104.5002,1268.0664,1104.5182,1048.1517,1506.2632,1395.9614,1583.9392,1931.3923,1915.3201,1710.2513,1420.269,1241.8477,1630.7578,2266.4014,2035.1147,1668.1138,2420.3167,1464.3289,1567.8229,1624.289,2011.4828,1249.9137,1548.595,1095.3883,1588.2671,
630,68.01693421002386,55.628742,,,,,,,,,,,1085.3635,1489.7806,1043.0604,1771.6117,1759.7045,2409.4697,2213.026,1622.6879,1863.4103,1192.0739,1480.5044,1612.4734,1482.2412,1933.6139,1622.8179,2148.5686,1732.2753,3025.3916,1812.3606,2543.8362,1784.9316,1699.592,1996.4567,3112.1418,2358.4976,1597.2036,1814.167,2104.5745,2282.4636,2276.8242,0,2254.732,3038.4255,1648.1292,1836.7368,1371.8885,2022.5172,1856.7976,2289.9316,2952.931,1889.7041,2148.8892,1969.2661,1900.7719,2153.1716,2259.8696,2057.5828,2265.7412,3572.7417,1631.6525,1677.2357,1576.2178,2195.065,1714.3312,2189.537,1167.609,2231.2458,
350,68.02808826547066,54.76713,,,,,,,,,,,1591.9379,2848.5962,1553.1736,4231.048,3069.166,4316.549,3865.512,2916.4463,4006.2246,1734.647,2816.3623,1979.8097,2666.79,3770.7866,3149.2808,3639.3337,3942.1743,3667.6116,2227.0647,4111.7554,3133.0813,3732.4434,3675.788,4044.7244,3492.5881,3116.0315,4328.335,5640.696,6265.878,3856.706,0,6176.535,4609.147,3713.8506,2020.0612,3413.2476,3449.754,3302.3801,3966.426,4200.324,5163.557,3862.025,3557.5403,3416.6414,3366.788,6279.584,5928.7285,3835.2324,4537.186,4682.0005,4916.0884,3599.0244,6191.667,3589.651,3510.5493,3207.8984,3671.325,
864,69.00168794586436,56.256668,,,,,,,,,,,4189.9985,0,4203.7764,0,0,0,0,0,0,4045.2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
