row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,31_Brote_22_3mg_3.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,9_QC.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,5_Ext_blank.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,66_QC.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,55_QC.mzXML Peak height,32_QC.mzXML Peak height,65_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,10_QC.mzXML Peak height,21_QC.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,44_QC.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,
121,54.00872115576501,50.205,,,,,,,,,,,0,0,0,0,0,0,0,0,1116.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271.5894,0,0,0,0,1143.5227,0,0,0,
679,54.00913333059289,52.820213,,,,,,,,,,,889.7215,0,776.59985,565.45734,842.4135,0,644.6698,998.2432,726.42694,1063.608,848.06506,0,0,0,678.018,0,493.9719,0,887.75287,994.05884,700.67865,936.0853,1301.2096,932.8715,856.06866,965.40375,1006.8264,1087.0778,714.39655,0,945.5891,772.01245,1211.8572,1095.5426,676.1612,533.26056,768.1017,532.3073,0,739.42334,757.1765,977.94934,679.1422,945.66656,807.02026,874.5891,1008.391,704.0523,0,0,1197.2252,0,1650.5878,736.86304,942.90454,610.7708,1137.6437,
1244,54.00978925596855,53.354126,,,,,,,,,,,822.40796,0,0,621.2622,0,0,0,898.8339,0,1077.219,852.7934,0,0,0,628.0866,0,0,0,951.6348,0,0,869.7264,1318.6028,960.76624,801.68353,801.8016,0,0,0,0,0,752.6652,0,903.93365,622.06866,0,0,0,621.54395,0,0,0,648.82806,914.8359,754.0899,976.94183,905.491,0,0,977.6587,0,0,0,0,901.2432,0,0,
1673,54.01094362383138,53.704002,,,,,,,,,,,0,0,781.9428,0,0,0,0,0,0,0,799.4364,0,0,793.917,0,739.1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.07684,0,0,0,0,0,0,0,0,0,0,0,0,
189,54.01287555129679,50.48727,,,,,,,,,,,0,0,0,0,0,0,866.34393,0,0,0,0,0,0,0,0,0,538.22363,0,0,0,0,0,0,0,812.06213,0,0,0,751.55865,0,0,0,0,1028.429,0,581.2929,0,0,679.2527,822.202,0,0,0,0,0,0,973.7339,0,0,0,0,0,0,0,0,773.86237,1168.9261,
1,54.0132063378371,49.645,,,,,,,,,,,0,0,0,0,0,0,0,0,796.08563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.6623,0,0,0,0,643.1213,0,0,647.1053,0,0,0,0,0,0,0,0,0,0,795.89703,0,0,0,
860,54.015592325204835,52.959373,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.07748,0,0,0,0,0,0,923.9147,0,0,0,970.8578,0,0,0,0,1172.7212,0,0,520.1536,821.06995,0,0,0,0,1019.9542,0,0,0,0,0,0,0,0,0,0,1552.7865,0,0,0,0,
1948,54.99726446769923,53.96,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1229.1171,0,0,0,0,0,1976.1484,0,0,0,0,0,0,0,0,4515.1343,0,0,0,0,0,0,0,0,0,0,0,0,3245.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,55.0,49.6475,,,,,,,,,,,0,0,0,0,0,0,0,0,5050.592,0,0,0,0,0,3034.4375,0,0,1949.7489,0,0,0,0,0,0,0,0,0,0,3143.8242,0,0,0,0,0,0,0,0,0,0,3358.8506,0,0,3209.811,0,0,0,0,0,4896.6895,0,0,0,0,5106.5356,0,0,0,
122,55.0,50.205,,,,,,,,,,,0,0,0,0,0,0,0,0,7449.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9136.546,0,0,0,0,7803.374,0,0,0,
308,55.0,51.25,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5494.2266,0,5302.2183,2514.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,5487.4546,0,0,0,0,0,0,2416.0742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
366,55.0,51.706665,,,,,,,,,,,0,0,0,0,0,0,2711.8945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003.7554,0,0,0,0,0,0,0,0,0,0,3193.8464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
464,55.0,52.395,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4247.7085,0,3974.0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4552.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
570,55.0,52.64084,,,,,,,,,,,0,0,3582.546,0,0,0,0,0,4726.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4581.308,0,0,4165.5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6297.1025,0,0,0,0,4870.965,0,0,0,
1067,55.00051215636793,53.13091,,,,,,,,,,,0,0,0,0,0,9303.935,2564.1128,0,4202.108,0,0,0,4128.935,0,0,0,0,0,7023.428,0,0,0,0,0,0,0,4445.8374,4701.47,0,4369.1523,0,0,0,0,0,0,0,0,3352.6116,0,3225.7866,0,0,0,0,0,0,0,0,4282.307,0,0,0,0,0,0,0,
1234,55.0,53.351665,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3455.4153,0,0,3371.5388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495.5654,0,0,0,0,0,0,0,0,0,0,0,
903,55.00018768753031,53.004646,,,,,,,,,,,4045.0042,1948.2422,0,0,3122.2568,5497.387,0,0,0,4442.205,0,0,0,0,3151.8787,0,0,2126.9248,0,0,0,3665.6045,5367.0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328.106,0,0,3742.949,0,0,0,0,4936.109,4620.6206,0,0,4102.047,0,0,
690,55.00034037410622,52.823624,,,,,,,,,,,4332.72,2770.0205,0,2856.358,5730.444,5363.2446,6445.0254,6349.8936,4146.366,5393.051,4063.0186,0,4338.583,3884.4092,4036.0254,3497.997,3568.6277,2794.6362,0,5162.5996,4185.119,5104.2876,6070.4844,4563.119,5407.8057,6038.1675,6207.918,6456.6626,5851.739,4637.9653,0,4018.212,6607.0054,8129.4663,4358.838,3917.383,4889.3823,3115.036,3300.0334,6511.4375,0,4864.124,3944.488,5163.6714,4321.9287,3749.14,6974.297,5516.931,4774.713,4298.612,5402.044,4357.144,8183.8643,0,5359.8438,5365.0757,7028.1914,
71,55.00035668203057,50.05647,,,,,,,,,,,0,0,0,3316.0703,0,0,3407.4146,5490.3003,4632.526,0,0,0,5853.124,6872.0493,0,6812.3843,3001.9526,0,0,4564.3643,0,0,0,4428.7393,5182.699,4297.513,5023.934,5979.048,3792.809,5062.874,6697.5303,3906.535,5427.299,7161.1943,3779.9883,3160.9038,3909.1978,2875.462,0,3958.1501,0,4888.475,0,4286.208,0,0,7308.2485,3964.4158,5188.0547,4328.872,0,0,0,4766.572,0,3527.2422,5165.6143,
1411,55.00045567398088,53.484783,,,,,,,,,,,3608.2441,1945.8094,4817.691,2962.2795,3168.9565,5423.3276,2664.0474,3875.5383,0,4312.712,4753.9136,0,4220.5684,0,3225.0928,0,2490.1968,2131.0996,0,0,0,3698.898,5400.5474,4108.7417,3544.2249,3716.2183,5317.0776,4877.1543,3925.5437,4552.251,4262.5454,3568.1208,6339.69,4449.403,3062.2354,2594.1187,3590.342,2542.3262,3325.6106,4100.864,3452.8948,4712.46,3325.1362,0,4618.47,3921.6208,4490.582,3862.6436,0,0,4715.321,4255.4697,6926.254,0,4309.69,2258.1023,6054.039,
174,55.000469087975915,50.485935,,,,,,,,,,,0,2334.0693,0,2806.8252,4021.5066,0,10633.212,7303.1704,4794.9155,0,3908.4448,0,0,0,3323.5798,3591.5466,4666.307,2659.1572,0,0,3328.204,0,0,4591.0034,6640.3794,5029.866,6190.169,7038.5806,7374.1836,0,0,4557.092,7910.2456,10827.935,4291.9443,4983.615,5408.9976,3495.064,4971.6514,8036.5156,0,0,3237.0452,5026.4272,4398.1772,0,8609.855,5253.857,0,0,0,0,8955.955,4541.9956,4018.4648,8699.759,9656.484,
538,55.00047030577523,52.4865,,,,,,,,,,,0,0,0,0,0,0,0,3835.406,0,0,0,0,4389.8623,0,0,0,0,0,0,4275.863,0,0,0,0,3479.7578,3923.3425,0,0,0,0,0,0,0,4576.344,3080.4478,0,0,0,0,0,0,0,0,0,0,0,4811.2627,3265.7515,0,0,0,0,0,0,0,2228.197,0,
777,55.000705218516664,52.912178,,,,,,,,,,,0,0,3791.6377,3779.2673,0,5449.5723,0,0,0,0,3576.431,0,0,0,0,0,3804.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6733.02,0,0,3904.0676,5031.2637,3581.3691,0,0,4494.77,6069.9624,0,5598.499,3397.1746,3608.0444,0,0,0,0,0,0,7647.0283,0,0,0,6577.4346,
1669,55.0012978026588,53.70334,,,,,,,,,,,0,0,3575.3508,0,0,0,0,0,0,0,3567.565,1143.7006,0,4221.8384,0,3936.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755.523,0,0,0,0,0,0,0,0,0,0,0,0,
1054,56.00011292834089,53.137505,,,,,,,,,,,0,0,0,0,809.9431,1379.1255,792.6741,0,0,1025.63,0,0,0,0,756.71234,0,0,0,1093.0497,0,0,0,0,0,0,0,0,1300.7643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.9075,0,0,
250,56.0021154692357,50.9225,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.1346,0,0,955.15857,0,0,0,0,0,0,0,0,0,0,0,0,0,1312.644,0,0,0,0,932.55505,1077.8097,805.1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
616,56.00519038543788,52.649998,,,,,,,,,,,0,0,0,0,0,1253.8654,0,0,1256.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.3187,0,0,0,0,0,0,826.2857,0,0,0,834.6803,0,0,0,0,0,0,0,0,0,1671.0259,0,0,0,0,1311.0304,0,0,0,
37,56.00938707290855,49.66234,,,,,,,,,,,0,0,0,0,0,0,0,0,1246.4292,0,0,0,0,1710.623,834.6813,1703.4148,0,614.94867,0,0,0,0,0,0,0,0,1256.8317,0,928.74274,0,1700.5593,1359.0458,0,0,0,0,0,0,0,971.54596,0,0,876.08826,0,902.29456,0,0,0,1270.915,1401.4897,0,0,0,1171.664,0,0,0,
1651,56.00946725822956,53.699997,,,,,,,,,,,0,0,1066.0575,0,0,0,0,0,0,0,1013.7545,0,0,1272.5182,0,1229.8683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.17456,0,0,0,0,0,997.22784,0,0,0,0,0,0,0,0,0,0,0,0,
462,56.00976252724986,52.394997,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1852.1161,0,1799.2174,839.93787,657.7859,0,0,0,0,0,1231.9883,0,0,0,0,0,0,1877.9957,1135.5718,0,0,0,0,0,812.4093,0,0,987.1386,1257.8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1210,56.00979580752022,53.339,,,,,,,,,,,861.7169,0,0,0,0,0,0,0,0,0,0,0,0,0,771.76624,0,0,0,1105.1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.2363,0,0,0,0,0,1078.15,0,0,0,0,0,
700,56.00996472178212,52.82438,,,,,,,,,,,1051.5361,831.7297,1050.0144,0,1488.2667,1240.3076,1606.7019,1530.5309,1089.8676,1272.8921,1090.201,0,1142.8097,0,1026.867,0,1058.5597,836.92255,0,1265.102,1091.7294,1240.3782,1460.1863,1232.5159,1423.4021,1496.15,1659.3518,1631.1687,1546.5823,1274.3475,0,1076.9032,1753.9324,2024.9238,1143.0549,1086.5345,1317.5377,837.2445,992.05884,1747.5466,1030.0023,1295.6407,1096.8398,1289.8683,1120.8989,954.8127,1749.0984,1403.9507,1249.294,0,1322.902,1059.8987,1979.6084,0,1325.4783,1398.2164,1906.2001,
531,56.010074531012584,52.484993,,,,,,,,,,,0,0,0,0,820.46423,0,0,1218.2946,0,0,0,0,1536.9513,0,0,0,0,0,0,1460.7643,0,937.2828,1403.965,0,1118.796,1368.0785,1286.4465,1326.1278,0,1257.1465,0,0,0,1690.4368,1088.7695,0,0,0,0,959.2485,0,0,0,0,0,0,1616.9124,1076.6398,0,0,1440.1147,0,0,0,0,801.10724,0,
176,56.01023832816263,50.486073,,,,,,,,,,,0,658.0389,0,0,1064.6388,0,2514.3926,1803.4666,1232.5946,0,1092.0703,0,0,0,967.7094,0,1156.0327,800.6793,0,0,917.3982,977.21643,0,1295.1586,1712.4331,1179.3256,1578.5424,1746.9271,1898.5021,0,0,1267.3341,2008.4962,2587.912,1142.2432,1289.1183,1483.3547,953.6839,1229.3982,1941.2595,0,1288.7974,913.2903,1385.2523,1127.9117,0,2120.7852,1308.0585,0,0,0,0,2276.1758,1241.0431,1052.2726,2100.8005,2434.1777,
1492,56.0107058144506,53.54286,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1240.3832,0,1270.6829,0,618.5629,0,0,0,0,0,0,0,0,0,0,0,0,1376.5305,0,0,0,0,0,0,0,0,0,985.45013,1244.7029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404.9075,
109,56.01160398813723,50.203335,,,,,,,,,,,0,0,0,0,0,0,0,0,2229.3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642.9365,0,0,0,0,2325.94,0,0,0,
69,56.0128231153213,50.055897,,,,,,,,,,,0,0,0,1452.6359,853.3387,0,1437.8313,2109.0166,1738.8813,0,0,0,2438.7969,3550.2979,0,3689.6692,1378.1635,0,0,1735.1193,0,0,1786.1163,1847.8925,2012.8899,1702.6871,1951.576,2284.649,1516.4574,2039.7358,3371.087,1676.0216,2189.5884,3037.6367,1523.7025,1403.8666,1619.5071,1301.1206,0,1610.3579,1321.6289,1872.5459,0,1817.815,0,0,2954.7126,1448.7205,1903.6561,1895.9556,1805.3802,0,2081.4795,1817.4106,0,1500.2236,2097.0085,
900,56.01283859387365,53.004284,,,,,,,,,,,930.0265,0,0,0,0,0,0,0,0,1055.97,0,0,0,0,779.1553,0,0,0,0,0,0,918.93726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.0827,0,0,946.18176,0,0,0,0,0,1087.0255,0,0,0,0,0,
303,56.01355817007879,51.248234,,,,,,,,,,,0,0,0,1151.4521,0,0,0,0,0,0,0,0,0,2579.605,0,2623.934,1008.2815,0,0,0,0,0,0,1397.0464,0,0,0,0,0,0,2507.5188,1276.4744,1654.2451,0,0,1007.73883,1179.3154,959.0837,0,0,1053.3076,1426.6143,0,1346.2655,0,0,0,0,0,1410.5835,0,0,1627.4695,0,0,0,1574.6407,
1374,56.01405961377812,53.47625,,,,,,,,,,,0,0,1090.0298,0,0,0,0,0,0,0,963.2187,0,0,0,0,0,0,0,0,0,837.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.4773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,57.000693229781696,50.198334,,,,,,,,,,,0,0,0,0,0,0,2091.493,0,11256.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4044.4448,0,3666.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13343.32,0,0,0,0,11709.906,0,0,0,
